k,target,MAE,MSE,R2
2,Fraction_Insertions,0.12428285034548978,0.02465962999685139,-0.044226621305230474
2,Avg_Insertion_Length,0.3500680550925571,0.2276970738426093,-0.033863472836470176
2,Avg_Deletion_Length,2.040800698821306,6.456915159723109,-0.02344673759667293
2,Indel_Diversity,0.6121489659002776,0.5959204139604453,-0.013018087268075629
2,Fraction_Frameshifts,0.09277377271728236,0.01607947292072038,-0.052083492073514925
3,Fraction_Insertions,0.12174890020644286,0.023273738785441388,0.014459761960538664
3,Avg_Insertion_Length,0.3851527963991588,0.2760048870854161,-0.25320614036177336
3,Avg_Deletion_Length,2.0660276927891252,6.556043799465728,-0.03915902131689597
3,Indel_Diversity,0.5921930479467862,0.5594130463225927,0.049041581891277275
3,Fraction_Frameshifts,0.09215652149334942,0.01568006747024891,-0.02595030455194336
4,Fraction_Insertions,0.12689333382889345,0.026731260620401025,-0.1319510456740427
4,Avg_Insertion_Length,0.6416552800040983,0.7547115672985526,-2.4267841425862193
4,Avg_Deletion_Length,2.4990171347786885,9.836178311460216,-0.559073389422512
4,Indel_Diversity,0.6119060105737706,0.6188562994970488,-0.05200729849793584
4,Fraction_Frameshifts,0.10620379777254096,0.01969279168041065,-0.28850374275044843
5,Fraction_Insertions,1036528789.4908359,3.298673240739052e+19,-1.396842699345743e+21
5,Avg_Insertion_Length,159638080659.97476,7.824373169541234e+23,-3.552673506652956e+24
5,Avg_Deletion_Length,204796380645.83167,1.2877190311352867e+24,-2.0410858881612952e+23
5,Indel_Diversity,6387571265.433182,1.252702881842025e+21,-2.1294969052076237e+21
5,Fraction_Frameshifts,6692459210.9509735,1.3751435172051e+21,-8.997594640176676e+22
