k,MAE,MSE,R2
2,0.13056094209624017,0.025767442173014864,-0.0911375833068373
3,0.11959269311864613,0.0237509028137089,-0.005746031115423822
4,0.11652244474537503,0.022651203435839783,0.04082138964272841
5,0.12138006700952111,0.025958621703213305,-0.09923319361840055
