k,MAE,MSE,R2
2,0.13484472070872058,0.029179883307998512,-0.23563942203036814
3,0.1753666165076544,0.05149905365857073,-1.180757894955133
4,0.1998243279763468,0.06372912506384469,-1.698647504145602
5,0.1617304163650913,0.043211165683493445,-0.8298023753842299
