k,MAE,MSE,R2
2,0.1261571448423489,0.026824765338623918,-0.13591055828629428
3,0.12016189424792319,0.023727369462838058,-0.0047494974500368325
4,0.11594694472315957,0.02654029578013242,-0.12386452653457325
5,0.11895198697935629,0.02594225610577791,-0.09854018271281162
