k,target,MAE,MSE,R2
2,Fraction_Insertions,0.13230964811658438,0.025051257094725898,0.04556569158741808
2,Avg_Insertion_Length,0.4662812374111127,0.5964207009587715,-0.3489179970531069
2,Avg_Deletion_Length,2.0512255546938394,6.843069115699915,-0.11630205652660908
2,Indel_Diversity,0.5222761405840073,0.4269479521436859,0.028279573127250934
2,Fraction_Frameshifts,0.09961947062168978,0.013425435401033371,-0.10030475310872733
3,Fraction_Insertions,0.13670607076568322,0.02836334081240162,-0.08062224064013979
3,Avg_Insertion_Length,0.6718933439775284,1.0840733069795965,-1.4518364160715822
3,Avg_Deletion_Length,2.4609902358152698,8.99397112581548,-0.46717624713949224
3,Indel_Diversity,0.5391815647626204,0.5187022279028851,-0.1805503405904827
3,Fraction_Frameshifts,0.11396954719516494,0.01862797844944808,-0.5266881569559394
4,Fraction_Insertions,1.054392638789743,1.7239990397663487,-64.68308428600852
4,Avg_Insertion_Length,5.2624927988264325,45.729977489631835,-102.4269761955529
4,Avg_Deletion_Length,29.586296014947685,1332.2396800087477,-216.32673884121752
4,Indel_Diversity,8.118431623671302,109.53234734938849,-248.29225866599828
4,Fraction_Frameshifts,1.086085417597586,1.7126788140712572,-139.36555116314312
5,Fraction_Insertions,0.1430465164946976,0.032208268050588934,-0.2271111156534662
5,Avg_Insertion_Length,0.7764231144634777,1.30106475293854,-1.9426035309454655
5,Avg_Deletion_Length,2.7473794188332823,13.900514733242181,-1.2675751071834043
5,Indel_Diversity,0.5687359705047953,0.4848689370075865,-0.10354680958344042
5,Fraction_Frameshifts,0.1088970944506798,0.0184933934058586,-0.5156580071890686
