k,MAE,MSE,R2
2,0.12220189295502175,0.02873776681731976,-0.21691773766836642
3,0.17985049585963628,0.056552321709848405,-1.394741520192377
4,0.12336144199245465,0.02483575322849442,-0.05168466374688285
5,0.11976296571074395,0.02544180390090789,-0.07734823802090407
